Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
Rain Industries,500339,RAIN,INE855B01025,Chemicals & Petrochemicals,Petrochemicals,204.92,6892.15,2277.88,475.50,168.59,18.68,10794.64,41.35,296.21,387.99,60.70,121.44,115.99,289.16,37.68,130.33,0.00,12.83,5268.88,17.72,18464.31,17.02,17.40,340.99,537.17,8.26,0.60,228.66,6.60,0.35,897.24,1943.22,168.23,823.54,7.47,44.50,1870.41,8.54,1526.24,7927.39,29.74,9547.90,5.44,0.86,5167.16,192433.00,195180.00,204795.00,8.02,2.67,47.62,1612.59
Rainbow Child.,543524,RAINBOW,INE961O01016,Healthcare Services,Hospital,1453.50,14769.78,566.35,1709.60,1369.98,10.55,890.98,49.84,60.57,13.21,53.50,78.10,-20.05,103.25,73.90,75.62,0.00,51.56,550.63,23.79,1820.14,18.30,33.17,62.54,286.45,17.35,15.90,11.29,13.31,3.50,419.66,395.66,1369.14,172.63,9.85,42.54,20.28,5.88,33.89,1546.51,404.50,258.35,25.55,8.96,469.99,89305.00,88561.00,80320.00,16.03,22.56,11.39,33.89
Rajesh Exports,531500,RAJESHEXPO,INE343B01030,Consumer Durables,"Gems, Jewellery And Watches",79.91,2357.38,380.05,1029.70,125.83,66.56,1015.90,54.55,47.19,595.17,-9.53,-53.50,188.21,89.58,71.48,104.05,0.00,13.93,317868.85,81.42,887509.97,79.55,82.71,47.19,169.22,1.86,0.68,130.29,0.02,0.11,371.78,7737.55,126.29,130.34,3.03,34.44,1891.23,17.41,2615.22,17239.21,11796.62,27642.35,1.90,0.14,240335.72,201013.00,198796.00,213908.00,12.61,10.83,22.02,2615.22
Rajratan Global,517522,RAJRATAN,INE451D01029,Auto Components,Auto Components & Equipments,505.35,2568.51,145.30,1409.90,446.44,10.39,323.90,65.20,22.96,69.82,13.52,15.43,48.80,32.15,20.69,20.55,0.00,32.26,378.74,28.75,1228.34,27.74,29.14,22.96,79.63,13.23,11.51,39.51,7.21,1.97,74.51,56.66,445.85,48.58,6.33,50.51,24.23,-1.65,37.09,640.29,1.44,431.06,17.97,3.94,318.35,62564.00,64168.00,65750.00,0.83,8.35,25.62,37.09
Rallis India,500355,RALLIS,INE613A01020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,212.85,4135.76,404.98,385.90,249.85,44.81,61.10,55.08,123.54,30.04,95.00,-16.76,933.33,92.90,2.00,102.00,0.00,18.11,922.40,7.13,2962.00,4.41,6.79,125.00,228.40,14.14,10.22,33.45,12.09,1.48,172.11,295.11,250.22,134.96,4.78,40.11,31.17,9.10,45.43,2023.52,505.39,1807.39,9.46,2.03,1022.00,130812.00,129225.00,128437.00,9.12,11.72,23.66,45.43
Ram Ratna Wires,522281,RAMRAT,INE207E01023,Electrical Equipment,Other Electrical Equipment,486.50,4540.02,279.88,520.00,378.60,6.44,675.23,69.30,35.21,127.75,15.46,39.01,-10.37,53.37,31.64,21.82,0.02,35.07,2039.43,75.30,6047.46,60.51,88.63,35.16,129.44,23.58,20.61,94.01,1.90,3.72,-92.99,227.33,377.52,99.47,5.72,65.91,23.82,-7.85,13.86,532.81,16.06,1251.70,16.16,7.84,1853.28,24296.00,19958.00,18430.00,0.47,0.62,29.62,13.86
Ramco Inds.,532369,RAMCOIND,INE614A01028,Other Construction Materials,Other Construction Materials,354.00,3084.17,247.23,398.05,309.44,11.07,171.47,54.84,80.01,21.91,65.63,81.75,-1.19,50.29,112.07,40.93,1.05,9.80,421.58,15.35,1872.74,13.43,15.48,86.59,314.65,4.57,6.75,51.92,13.03,2.40,200.97,133.18,308.99,62.87,5.79,54.90,101.41,2.59,151.24,4513.31,3484.91,894.04,10.88,0.68,613.81,31622.00,29086.00,30398.00,1.00,3.35,40.81,151.24
Ramco Systems,532370,RAMCOSYS,INE246B01019,IT - Software,Software Products,552.35,2076.28,167.33,1113.00,548.21,42.95,42.83,55.51,0.60,-36.17,0.94,25.05,-97.78,13.42,3.21,12.59,0.00,32.96,200.26,13.92,712.41,15.71,7.10,0.56,63.00,19.72,18.12,561.20,0.32,1.72,134.45,113.35,548.16,40.29,3.57,34.99,45.77,9.22,125.57,312.48,1.88,307.83,12.39,5.91,172.77,32100.00,27987.00,30674.00,11.48,1.77,31.25,125.57
Ramkrishna Forg.,532527,RKFORGE,INE399G01023,Auto Components,Auto Components & Equipments,745.40,13598.01,638.19,1064.05,594.00,3.55,2448.77,43.39,46.88,297.63,11.79,56.18,-16.20,22.35,13.57,-9.50,15.56,118.30,1058.17,16.60,4439.50,8.55,19.84,46.88,114.95,5.60,2.51,-60.43,3.85,2.38,839.76,32.55,592.48,164.12,1.23,71.91,20.18,-5.72,162.90,3254.11,240.97,2446.54,22.26,4.12,1216.67,105810.00,109027.00,113670.00,20.43,5.09,30.90,162.90
Ramky Infra,533262,RAMKY,INE874I01013,Construction,Civil Construction,391.15,2694.61,425.31,1009.05,464.04,44.64,591.18,69.81,39.30,-47.18,74.40,-6.05,-25.58,4.94,78.00,75.63,25.70,14.41,522.76,10.84,1938.47,4.52,24.26,38.79,186.97,13.66,11.13,-4.40,8.23,0.32,-262.20,372.90,464.78,55.87,0.71,48.50,159.74,6.11,267.36,2093.21,0.24,2154.94,7.75,1.25,471.23,23063.00,23216.00,23241.00,1.92,0.91,27.37,267.36
Rane (Madras),532661,RML,INE050H01012,Auto Components,Auto Components & Equipments,1078.20,2978.46,355.35,1529.00,939.97,18.56,752.01,70.45,30.10,56.04,19.29,36.96,-18.56,36.74,30.52,21.47,0.00,24.65,1078.79,17.35,4023.95,16.01,18.29,30.10,120.82,13.95,15.35,188.49,2.89,1.47,219.07,315.75,938.59,92.76,13.29,44.04,34.79,5.38,47.24,722.92,7.54,1461.60,9.88,3.97,1041.62,28932.00,29856.00,33748.00,0.33,0.79,28.43,47.24
Rane Holdings,505800,RANEHOLDIN,INE384A01010,Finance,Holding Company,1581.10,2261.06,441.02,2799.00,1476.46,16.69,1020.99,46.64,35.83,-6.62,38.37,68.89,-44.86,30.40,-39.51,31.26,0.00,28.67,1708.27,22.09,6129.37,25.82,18.35,48.27,78.85,9.52,7.00,6.33,2.92,0.74,279.55,513.03,1475.41,110.34,16.49,35.31,41.96,6.19,54.64,1139.55,296.19,1902.15,7.09,1.96,1586.88,15390.00,15635.00,15968.00,0.93,3.39,49.05,54.64
Rashi Peripheral,544119,RPTECH,INE0J1F01024,IT - Hardware,Computers Hardware & Equipments,856.15,5690.08,499.28,967.70,552.26,11.53,990.63,64.04,102.77,67.60,61.32,84.21,20.42,140.31,74.60,59.22,0.00,17.83,6267.64,50.83,17777.05,40.44,61.85,104.57,319.04,16.82,14.74,50.28,2.05,-3.17,113.69,-299.18,549.21,176.43,20.77,55.23,21.95,-3.64,81.21,1992.06,0.00,5219.80,11.77,2.79,5101.85,52537.00,43946.00,51874.00,3.27,12.68,20.01,81.21
Rategain Travel,543417,RATEGAIN,INE0CLI01024,IT - Software,Computers - Software & Consulting,943.75,11185.96,398.79,1052.65,729.55,10.35,948.70,48.78,94.91,102.24,46.93,69.99,35.61,99.20,26.45,51.01,0.00,42.79,767.60,160.15,2335.65,114.36,187.63,94.91,261.39,13.67,11.99,24.18,12.09,7.79,233.71,119.97,727.40,150.41,8.37,53.77,349.63,7.04,173.13,1994.05,24.52,954.57,23.78,5.56,785.01,90004.00,92900.00,96390.00,5.75,20.86,24.53,173.13
Ratnamani Metals,520111,RATNAMANI,INE703B01027,Industrial Products,Iron & Steel Products,2289.60,16127.60,879.23,3978.50,2478.49,31.55,317.62,59.77,82.16,-37.67,131.82,99.34,-7.66,128.45,135.38,156.04,0.00,36.76,970.90,-18.53,4313.97,-16.31,-15.63,107.02,438.75,17.91,12.63,-23.11,11.01,3.21,936.01,536.22,2480.39,165.81,14.07,40.04,225.22,7.87,73.90,4096.61,644.32,2762.06,19.47,3.90,971.63,36573.00,38601.00,32422.00,10.72,19.13,10.37,73.90
RattanIndia Ent,534597,RTNINDIA,INE834M01019,Retailing,E-Retail/ E-Commerce,30.03,4153.71,-74.66,94.85,36.91,53.08,1100.86,74.87,15.10,-97.00,502.72,-110.28,113.38,-203.38,-162.01,-396.56,14.10,,2098.56,-1.19,7697.47,2.09,-19.14,14.73,-653.04,-4.76,-19.57,-146.82,0.79,-3.48,-55.52,306.41,36.98,-180.95,-1.47,37.81,130.68,3.45,166.06,492.02,893.43,2140.10,-7.99,5.40,1870.48,395032.00,401055.00,440680.00,5.40,0.07,19.58,166.06
RattanIndia Pow.,533122,RTNPOWER,INE399K01017,Power,Power Generation,7.77,4167.23,760.18,45.50,9.43,39.77,3710.71,44.06,45.85,449.73,-13.11,42.84,7.03,-57.12,54.26,-31.55,0.00,37.41,610.75,-6.57,2967.95,-6.49,-2.85,45.85,111.40,6.21,1.14,-3.81,5.74,0.41,372.18,409.95,9.45,79.89,-0.11,21.37,362.53,7.23,75.35,-732.40,0.00,3268.89,10.30,0.90,798.55,1911791.00,1943756.00,2077828.00,5.25,6.58,44.10,75.35
Ravindra Energy,504341,RELTD,INE206N01018,Electrical Equipment,Other Electrical Equipment,166.71,3314.57,148.83,196.45,148.71,15.14,502.25,58.26,1.64,-92.75,22.61,12.62,-87.00,36.94,14.64,30.79,20.41,55.53,213.65,77.56,500.53,28.23,-26.24,1.64,59.69,15.89,21.18,12.99,1.37,2.99,171.85,70.90,148.53,63.78,1.86,50.34,84.10,-17.77,91.54,243.64,40.66,182.39,23.92,7.83,119.97,82798.00,80815.00,83521.00,3.27,2.99,35.49,91.54
Raymond,500330,RAYMOND,INE301A01014,Industrial Manufacturing,Industrial Products,656.65,4368.44,294.13,826.75,529.46,0.36,1054.89,48.87,20.99,1.85,20.61,2.63,158.59,4.28,7.10,13.89,0.00,25.98,599.68,13.64,2293.42,13.45,15.51,30.85,168.16,3.14,167.82,228.88,5.09,0.76,41.77,233.14,528.18,64.22,0.44,62.88,298.51,2.63,182.42,2777.43,1695.05,1401.11,15.18,1.54,605.61,272532.00,288616.00,291118.00,7.89,3.81,39.38,182.42
Raymond Lifestyl,544240,RAYMONDLSL,INE02ID01020,Textiles & Apparels,Other Textile Products,730.85,4455.97,787.45,3100.00,886.87,45.86,2185.53,59.61,-22.59,-13.98,-19.82,10.73,56.61,9.10,42.86,75.19,23.74,29.87,2016.48,10.05,6973.08,9.18,5.95,-22.59,149.19,3.52,1.14,62.84,-1.49,,546.23,404.30,888.43,187.18,1.49,47.82,400.88,7.63,327.94,9623.64,1037.10,3748.32,7.73,0.46,1515.51,138586.00,139894.00,148782.00,7.32,5.72,27.30,327.94
Raymond Realty,544420,RAYMONDREL,INE1SY401010,Realty,"Residential, Commercial Projects",578.05,3856.37,481.46,1055.20,592.59,21.34,1013.75,50.93,13.43,-18.61,16.50,161.12,-91.66,,66.79,60.18,7.34,12.79,,565.03,3136.96,284.43,38.42,13.43,301.52,29.61,36.31,1023.82,2.55,,-909.96,-236.60,592.73,,,36.37,18.68,-31.37,354.63,1500.85,2.47,6952.50,8.61,2.46,526.67,209800.00,210530.00,261564.00,5.85,2.90,40.29,354.63
RBL Bank,540065,RBLBANK,INE976G01028,Banks,Private Sector Bank,392.30,60890.54,9249.52,716.55,330.38,0.41,155812.07,60.00,253.70,26.64,200.33,229.71,10.44,210.43,213.88,178.52,0.00,69.52,3771.70,7.53,14734.71,5.37,11.60,253.70,875.81,5.77,5.11,67.08,6.61,3.44,7577.00,-846.35,329.76,1393.82,1.36,62.58,10752.30,2.35,13796.01,15986.78,32078.23,33273.40,21.81,1.46,3840.25,320792.00,323042.00,386691.00,8.77,16.92,14.16,13796.01
REC Ltd,532955,RECLTD,INE020B01018,Finance,Financial Institution,328.10,86306.44,57060.36,654.00,360.55,15.98,515283.59,52.63,4192.76,-6.11,4465.71,3375.08,24.23,5796.09,4052.44,4414.93,0.00,5.38,15141.63,-0.07,59202.49,2.03,-2.05,4192.76,16049.63,9.71,20.12,-4.97,29.05,-0.26,5971.57,-39064.08,360.88,14545.11,22.01,30.15,2343.37,-5.16,1611.09,81862.78,9831.45,46800.67,10.63,1.02,14434.92,1175194.00,1208647.00,1126511.00,15.76,16.98,14.57,1611.09
Redington,532805,REDINGTON,INE891D01026,Commercial Services & Supplies,Trading & Distributors,348.10,27225.75,2529.52,364.50,265.57,4.50,2841.62,0.00,485.98,76.55,275.27,489.61,57.69,588.91,413.39,350.20,0.00,15.13,36860.94,26.78,128132.84,23.20,34.57,453.49,1799.22,18.39,16.86,41.53,1.30,-16.99,231.35,292.62,264.74,738.60,7.53,65.45,1381.48,3.37,1121.50,10004.38,0.00,32528.54,10.66,2.68,34922.47,241094.00,253694.00,219740.00,61.96,16.37,21.61,1121.50
Redtape,543957,REDTAPE,INE0LXT01019,Consumer Durables,Footwear,123.98,6853.17,486.20,245.46,131.11,24.17,719.96,71.83,44.48,15.23,38.60,69.88,-36.35,58.82,104.53,27.54,0.00,27.81,585.59,18.93,2435.74,18.98,3.65,44.48,246.43,24.48,26.65,38.47,9.24,6.32,174.01,4.30,131.19,96.29,1.06,40.63,14.57,-0.96,9.76,910.82,0.00,1518.34,15.35,6.71,481.28,75576.00,77943.00,78752.00,3.21,11.74,13.22,9.76
Refex Industries,532884,REFEX,INE056I01025,Other Utilities,Waste Management,293.60,4030.12,386.99,600.00,301.58,29.36,225.04,56.57,73.66,145.38,30.02,101.91,-31.65,97.96,52.71,36.19,43.51,14.13,790.62,90.65,2841.18,37.90,160.42,64.56,285.20,22.71,17.81,56.27,8.13,,107.14,-248.50,301.66,117.65,7.06,39.98,352.05,-8.45,393.35,1476.71,0.00,2539.60,8.50,2.68,916.31,91033.00,94159.00,85429.00,0.93,0.38,42.13,393.35
Relaxo Footwear,530517,RELAXO,INE131B01039,Consumer Durables,Footwear,374.10,9311.55,420.18,1448.00,380.53,29.61,232.65,71.27,54.94,12.35,48.90,67.67,-18.81,48.14,26.54,36.16,0.00,50.25,660.20,5.04,2752.72,2.11,7.73,54.94,185.31,11.07,8.33,5.98,7.79,2.58,348.25,406.01,380.59,92.17,1.93,38.00,42.06,6.92,24.19,2181.47,435.82,1193.52,22.11,4.22,705.05,223844.00,225931.00,239560.00,3.11,9.67,15.95,24.19
Reliance Industries,500325,RELIANCE,INE002A01018,Petroleum Products,Refineries & Marketing,1313.20,1781849.53,205081.00,1611.80,1362.83,18.53,402962.00,50.48,20946.00,2.02,20530.42,16971.00,12.66,25542.93,22290.00,22092.00,0.00,23.84,300662.63,18.08,1123055.00,15.00,27.02,23196.00,74727.00,10.26,8.91,-0.42,7.50,0.94,192113.00,178703.00,1363.33,49800.24,17.04,51.26,106502.00,3.07,145977.00,890498.00,248332.00,496818.00,10.00,1.97,309468.00,4651863.00,4421289.00,4435756.00,17.19,21.10,11.05,145977.00
Reliance Infra.,500390,RELINFRA,INE036A01016,Power,Integrated Power Utilities,61.93,2541.11,6423.18,2641.00,152.56,79.61,4936.72,19.05,304.23,409.43,59.72,1188.71,-53.19,-583.07,317.42,2575.30,0.00,1.11,6166.47,-1.10,20876.98,-6.41,7.39,767.79,2295.31,15.44,14.26,-48.63,9.90,0.06,2550.22,3656.67,153.47,273.66,-6.91,37.50,2859.07,6.66,2203.65,17463.85,10319.36,5099.29,0.79,0.14,6344.27,654736.00,660302.00,712587.00,4.94,0.78,75.10,2203.65
Reliance Power,532939,RPOWER,INE614G01033,Power,Power Generation,22.15,9156.51,2733.22,374.94,29.46,56.48,14812.03,24.98,64.71,44.83,44.68,-173.55,113.10,5.95,25.11,87.32,0.00,2550.56,2006.36,1.64,7690.45,2.87,3.75,64.71,3.59,6.11,-0.90,124.52,3.31,0.24,2824.36,1937.92,29.54,609.23,0.01,32.62,973.37,8.58,1705.16,11903.64,141.86,4617.75,8.13,0.57,1956.32,4318443.00,4341371.00,4393672.00,13.64,2.79,58.57,1705.16
Religare Enterp.,532915,RELIGARE,INE621H01010,Finance,Investment Company,231.65,8006.58,170.14,706.03,241.47,18.68,493.23,30.55,-26.18,-356.16,10.22,82.21,-149.12,-15.23,-76.54,45.93,0.00,161.59,2538.75,22.26,8953.79,19.01,26.43,-46.98,49.55,3.06,3.17,-57.65,-2.00,0.40,1819.96,1571.92,241.57,14.58,-0.25,37.52,1086.74,40.09,1702.68,2575.40,11203.48,2410.83,67.63,2.65,2353.40,69935.00,73411.00,74058.00,9.64,9.33,50.49,1702.68
Repco Home Fin,535322,REPCOHOME,INE612J01015,Finance,Housing Finance Company,362.80,2269.73,1602.49,924.00,392.96,20.42,12206.01,37.13,121.62,5.63,115.14,135.18,-10.03,149.57,115.44,109.66,0.00,4.71,465.12,5.40,1819.44,4.91,6.23,121.62,481.90,10.17,12.73,3.84,26.00,-0.49,-896.20,-613.70,393.26,410.67,23.91,38.23,136.29,-4.90,292.25,3978.17,272.46,305.81,8.79,0.56,467.70,49320.00,51135.00,56298.00,12.36,26.08,24.42,292.25
Responsive Ind,505509,RESPONIND,INE688D01026,Consumer Durables,"Furniture, Home Furnishing",156.37,4164.70,251.84,364.95,181.55,35.45,195.00,59.14,2.74,-94.51,49.87,22.82,-87.99,24.46,22.48,53.26,5.65,40.91,283.26,-9.72,1248.28,-13.12,-43.06,2.74,101.80,10.77,10.26,-49.19,1.42,5.09,39.62,75.41,181.81,47.84,0.92,31.13,7.61,1.67,10.01,1532.26,75.75,1021.09,21.48,2.67,192.87,15773.00,16316.00,17859.00,7.48,3.22,30.15,10.01
Restaurant Brand,543248,RBA,INE07T201019,Leisure Services,Restaurants,105.21,7494.67,376.74,219.15,72.43,3.37,1967.00,9.22,-28.35,32.40,-41.94,-43.01,30.40,-65.56,-47.95,-63.33,0.00,,804.70,14.40,2947.53,13.29,17.90,-33.01,-171.46,-0.47,-22.72,17.88,-4.01,2.51,302.66,350.44,72.10,93.31,-0.79,74.65,536.46,0.84,58.91,138.23,137.86,242.33,23.38,8.50,822.61,244301.00,247516.00,227707.00,9.25,39.62,41.92,58.91
RHI Magnesita,534076,RHIM,INE743M01012,Industrial Products,Electrodes & Refractories,374.75,7736.58,470.49,893.15,414.51,26.52,448.44,56.07,64.61,83.19,35.27,22.73,112.47,66.50,61.56,38.35,0.00,41.32,1101.85,6.42,4073.60,8.45,5.59,64.61,187.25,6.52,2.91,13.55,6.37,2.35,409.10,373.08,414.91,130.71,3.22,39.86,99.20,5.72,159.75,3539.80,230.99,2586.66,15.61,2.17,1013.97,63783.00,64358.00,69845.00,3.98,14.34,25.60,159.75
Rishabh Instrum.,543977,RISHABH,INE0N2P01017,Electrical Equipment,Other Electrical Equipment,684.20,2646.39,147.60,729.85,504.25,6.25,80.54,69.40,19.03,-3.40,19.70,19.70,-3.30,23.47,20.51,22.09,0.00,32.73,207.30,5.59,783.09,5.63,4.18,19.37,80.86,14.50,12.02,110.03,9.77,3.65,108.48,64.95,502.44,34.92,5.96,58.75,198.08,-0.24,201.83,706.48,0.14,532.80,16.67,3.54,198.28,30707.00,32231.00,40235.00,1.17,11.21,18.21,201.83
Rites,541556,RITES,INE320J01015,Construction,Civil Construction,218.44,10509.94,677.57,413.08,223.42,22.24,6.59,72.20,87.21,8.88,80.10,129.97,-29.83,123.26,115.10,109.10,0.00,25.18,628.14,14.47,2457.79,11.28,8.67,97.78,417.38,22.00,15.42,8.16,18.37,1.86,327.48,637.06,223.47,141.92,2.29,47.12,3375.12,12.78,2946.15,2200.64,103.57,4459.21,11.02,3.92,532.20,379928.00,386213.00,402334.00,3.43,8.74,15.63,2946.15
Roadstar Infra,544374,ROADSTAR,INE0JEI23010,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",61.01,2778.87,516.12,80.00,70.92,12.84,3305.93,,35.25,129.45,-119.70,-154.89,121.97,-23.05,28.50,-24.77,0.00,,292.23,4.40,1149.15,9.29,-2.51,34.20,-112.64,2.18,-5.59,19.62,11.57,,848.83,756.52,71.02,164.03,-0.51,51.37,768.88,9.16,734.00,-490.23,45.87,1315.54,8.02,0.71,295.57,,,,,,,734.00
Rolex Rings,543325,ROLEXRINGS,INE645S01024,Auto Components,Auto Components & Equipments,185.82,4871.89,280.49,279.41,142.35,0.83,0.00,52.24,60.14,22.34,49.16,39.52,40193.33,49.62,47.75,44.34,5.13,25.16,283.25,4.37,1156.25,1.82,4.38,60.14,193.60,21.16,15.70,4.92,19.76,2.14,189.59,227.24,141.91,59.38,1.89,72.76,67.98,14.48,79.16,1186.34,288.25,848.09,16.42,4.17,304.34,97151.00,75066.00,52250.00,5.40,28.76,13.61,79.16
Rossari Biotech,543213,ROSSARI,INE02A801020,Chemicals & Petrochemicals,Specialty Chemicals,511.70,2833.09,290.63,1620.60,537.84,25.94,435.94,68.14,35.10,4.46,33.60,45.97,-23.65,48.95,32.77,36.88,0.00,18.80,712.36,21.54,2549.85,19.47,28.23,35.10,150.72,13.33,10.77,11.59,5.03,2.66,65.07,137.44,538.10,84.27,8.84,51.56,57.16,-5.86,92.21,1322.27,62.29,1200.80,9.78,2.13,697.20,87580.00,86972.00,91791.00,2.03,14.64,15.19,92.21
Rossell Techsys,544294,ROSSTECH,INE0OJW01016,Aerospace & Defense,Aerospace & Defense,1076.60,4062.35,67.71,1172.00,854.72,8.14,409.41,74.80,7.14,116.36,3.30,7.52,-5.05,13.73,5.41,5.67,0.00,153.41,223.57,77.56,552.37,82.91,77.09,7.14,26.48,11.50,15.72,73.64,4.62,,-82.80,-42.26,852.49,29.42,3.64,55.85,4.08,-12.20,47.50,147.32,0.00,504.38,56.54,26.21,154.46,26662.00,19467.00,15019.00,1.68,0.78,22.74,47.50
Route Mobile,543228,ROUTE,INE450U01017,Telecom - Services,Other Telecom Services,503.35,3171.57,596.06,2389.00,605.96,44.51,41.98,74.85,62.61,17.67,53.21,109.32,-40.09,99.15,102.56,-18.83,0.00,8.96,1136.85,1.56,4508.89,-0.31,9.58,68.55,353.95,17.41,12.58,15.71,5.95,0.98,581.16,602.48,606.99,126.74,14.37,36.78,1332.73,11.56,1388.67,2706.59,16.99,2529.94,3.03,1.15,1151.51,155829.00,158659.00,157406.00,2.40,3.46,19.29,1388.67
RPG LifeScience.,532983,RPGLIFE,INE105J01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,2654.80,4401.50,170.09,3082.00,2347.42,13.86,20.00,72.95,30.57,16.28,26.29,29.08,2.24,37.78,22.13,36.85,0.00,37.73,208.58,14.80,734.29,11.78,15.85,30.57,116.67,25.71,19.31,12.64,15.62,4.58,56.50,77.86,2344.33,44.82,22.84,45.77,139.61,9.67,156.78,592.14,119.69,440.79,23.73,7.25,195.69,23886.00,25282.00,25832.00,0.95,8.68,17.42,156.78
RPSG Ventures,542333,RPSGVENT,INE425Y01011,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),868.40,2888.77,1726.05,1360.00,859.17,26.34,8243.07,63.51,112.13,34.95,83.09,-56.09,451.51,96.00,-136.30,-41.13,0.00,,3156.67,18.30,11928.13,18.53,20.36,253.09,-46.84,10.61,-5.35,-72.76,8.71,0.24,1233.40,1097.50,859.08,475.46,10.44,39.85,950.77,1.82,916.69,2472.67,752.79,4214.03,5.46,1.15,3576.44,39049.00,40488.00,41261.00,4.01,1.98,30.49,916.69
RRPSemiconductor,504346,,INE713N01013,Finance,Other Financial Services,8544.20,11640.62,-7.16,11902.00,5622.90,28.21,5.87,1.28,-0.33,-13.79,-0.29,-0.18,-83.33,,-0.14,-7.15,0.00,,,,-6.82,-125.76,,-0.33,-7.80,-32.66,-61.01,-220.00,,-333.54,4.94,-18.78,5593.54,,,16.57,1.51,-21.38,0.03,-4.98,0.00,16.25,-1647.31,1287.68,0.00,1509.00,1497.00,116.00,0.00,0.00,98.72,0.03
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1760.60,29160.57,407.93,1827.50,1074.22,3.66,311.01,59.76,84.78,95.80,43.30,76.79,10.41,117.03,72.80,53.85,0.00,101.17,610.32,48.13,1935.81,46.65,51.59,84.78,288.22,28.35,26.96,89.49,15.87,47.06,205.05,159.18,1067.32,142.65,7.07,69.41,116.23,0.85,346.02,1272.31,26.59,1681.81,62.90,22.55,534.34,43254.00,33738.00,,7.52,9.43,23.29,346.02
S A I L,500113,SAIL,INE114A01011,Ferrous Metals,Iron & Steel,174.90,72347.58,13319.56,293.00,162.51,16.60,31927.71,65.00,1744.55,134.30,744.58,2074.81,-10.43,1417.49,374.03,418.72,0.00,14.98,28108.97,5.26,111134.75,6.45,1.25,1644.05,4830.03,7.79,6.43,58.66,6.65,0.50,19039.30,9914.30,162.38,3463.05,3.43,55.76,966.88,5.03,732.51,56225.35,4339.25,35915.24,7.04,1.20,26245.67,1509426.00,1572361.00,1908384.00,7.09,16.87,11.05,732.51
S C I,523598,SCI,INE109A01011,Transport Services,Shipping,291.15,13575.55,2660.05,384.80,270.00,21.04,2679.25,63.75,619.34,74.87,354.17,404.60,53.07,312.60,404.97,189.16,0.00,8.39,1683.47,25.74,6310.31,16.69,40.31,619.34,1618.07,14.31,15.54,78.54,33.54,0.86,1343.21,849.51,269.79,650.38,6.71,48.90,581.28,2.84,349.03,8630.49,773.60,4810.87,5.37,1.49,1846.56,385658.00,396720.00,463965.00,8.98,2.09,25.20,349.03
S H Kelkar & Co.,539450,SHK,INE500L01026,Chemicals & Petrochemicals,Specialty Chemicals,158.54,2193.15,250.98,362.90,158.28,42.45,1028.92,54.87,25.23,2.66,24.58,2.59,2423.89,20.07,32.63,9.17,8.30,46.44,620.07,11.95,2449.69,9.68,14.11,45.43,47.22,5.85,3.71,-63.89,3.81,1.39,263.13,15.74,158.28,67.43,1.45,51.26,86.78,0.39,64.93,1223.47,11.21,1469.87,11.83,1.61,662.42,55913.00,53911.00,50450.00,5.92,6.01,33.21,64.93
S P Apparels,540048,SPAL,INE212I01016,Textiles & Apparels,Garments & Apparels,923.85,2317.55,229.58,1221.90,856.64,24.39,419.04,61.81,24.91,16.40,21.40,18.48,33.78,32.58,27.01,34.70,0.00,22.06,425.83,-0.35,1576.28,1.48,-0.58,24.87,105.06,14.04,11.19,7.27,6.20,1.61,208.69,44.42,855.97,61.05,12.96,40.03,41.29,2.33,58.90,920.99,57.95,728.40,11.17,2.45,401.08,17353.00,17082.00,16858.00,1.49,16.15,20.55,58.90
Saatvik Green,544526,SAATVIKGL,INE13B501022,Electrical Equipment,Other Electrical Equipment,401.00,5093.72,581.06,580.00,434.80,30.86,939.43,75.99,5.51,-95.36,118.82,62.89,-91.13,85.08,96.92,83.24,0.00,20.49,1280.26,66.69,4143.72,46.52,-44.20,5.36,248.56,32.92,42.43,-21.14,1.05,,-26.72,42.60,435.14,129.48,6.69,34.47,8.48,-16.74,81.75,1335.65,0.00,2073.56,13.37,3.74,511.01,69254.00,78073.00,,0.19,10.97,12.84,81.75
